UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{9396F0BF-F269-4498-90CD-7E04BD8051F3};Strasse;TLM_STRASSE;Bruecke;{D4207F01-1636-433C-80B7-0E81C141D55B};Waldmattenbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2646499;1117771;1600
{1FAE6F32-60FA-4D48-AD23-08FFCEA70419};Strasse;TLM_STRASSE;Tunnel;{10EAC8D0-4C92-4723-A153-D41F1EF2E465};Tunnel de Vernier;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2495290;1118679;387
{A4C9EE59-1FCF-442B-BEA6-C3B20156E4D4};Strasse;TLM_STRASSE;Tunnel;{10EAC8D0-4C92-4723-A153-D41F1EF2E465};Tunnel de Vernier;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2495309;1118660;385
{EFB3F2A2-D5FD-4964-A1D9-E7D7D61D7E1E};Strasse;TLM_STRASSE;Bruecke;{09E41C8B-E5C1-46BF-8BAB-C13DC8D40469};Auenlochsteg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2740471;1246179;717
{9D19573B-1F78-4C08-A9CD-88A5E584C740};Strasse;TLM_STRASSE;Keine;{6AA9EBDE-49C8-4263-B23A-41CC6CB14864};Strada Romana;offiziell;Italienisch inkl. Lokalsprachen;Einfacher Name;;2713079;1111609;406
{6352085E-9C4E-4AB9-B7A8-95120AA87797};Strasse;TLM_STRASSE;Keine;{0C6D0E4D-3991-46F7-BA22-41A6E3EF2CF1};Lohner-Westflankensteig;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2612675;1147142;2177
{DDC83ED5-D99C-4C1F-A10F-C4FDEB18B38B};Strasse;TLM_STRASSE;Keine;{0C6D0E4D-3991-46F7-BA22-41A6E3EF2CF1};Lohner-Westflankensteig;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2612665;1147861;2011
{45B83FCC-8A0D-4801-88EB-15196F7029A4};Strasse;TLM_STRASSE;Keine;{0C6D0E4D-3991-46F7-BA22-41A6E3EF2CF1};Lohner-Westflankensteig;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2612448;1147802;1859
{74CC9B42-2378-46D4-A70B-34C49B3DB93A};Strasse;TLM_STRASSE;Tunnel;{3EF53EA9-4899-4B4F-B107-327BDB4C4CD4};Axentunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2689545;1197803;511
{54E1A1BD-E45D-43ED-9535-BB62ACD9E7A3};Strasse;TLM_STRASSE;Tunnel;{EC4374BC-16D2-4780-810B-32AF30883506};Tunnel de Moutier;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2595796;1235591;576
{77A0433E-03F5-4768-B742-ACE42ECAA09F};Strasse;TLM_STRASSE;Tunnel;{EC4374BC-16D2-4780-810B-32AF30883506};Tunnel de Moutier;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2595783;1235617;575
{2254E14F-0CC9-4ABB-BC12-E04F53D8B479};Strasse;TLM_STRASSE;Galerie;{9579A5B2-AB08-47CA-BD7B-D297E36E8D19};Figinengalerie;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2652697;1116537;999
{4B3E1C99-F408-4142-922B-CF402E3BD2A4};Strasse;TLM_STRASSE;Keine;{3F27A5F4-47AA-4FC8-8531-17FF9FFE0DFA};Rigi-Kulm-Nordwestrippe;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2679462;1212438;1638
{413FC1B3-7B40-4CF0-9E4D-728892077A94};Strasse;TLM_STRASSE;Bruecke;{FC0EABBE-87C8-4AF4-801F-4F462315D1BF};Pont sur la Drance;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2571232;1107832;464
{9C73FD4A-1081-40E9-B7A4-8301A7DE28DC};Strasse;TLM_STRASSE;Bruecke;{FC0EABBE-87C8-4AF4-801F-4F462315D1BF};Pont sur la Drance;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2571231;1107829;464
{73188B69-AA88-4894-AB7A-2FCB52BD9508};Strasse;TLM_STRASSE;Bruecke;{DCB05BB0-7A2C-4836-A185-CB0854E7F4A2};Gassernlochbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2645508;1128826;1205
{1A9F31DE-2830-44F1-A92A-25EF2AD06B46};Strasse;TLM_STRASSE;Tunnel;{26F51A9A-2D67-4181-8500-B88B55DAEDC8};Tunnel de Neu-Bois;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2567062;1257758;507
{38A7A115-815F-4013-9AE8-D9EBAC2B0045};Strasse;TLM_STRASSE;Tunnel;{26F51A9A-2D67-4181-8500-B88B55DAEDC8};Tunnel de Neu-Bois;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2567076;1257794;506
{06EB2E01-396E-4591-8FA2-F0C4184E7B6C};Strasse;TLM_STRASSE;Tunnel;{481D8C7F-0396-4715-A4A4-573069D3A763};Wititunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2597013;1224524;422
{64169180-1DD1-4383-9C31-A6BA935E387B};Strasse;TLM_STRASSE;Tunnel;{481D8C7F-0396-4715-A4A4-573069D3A763};Wititunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2596991;1224524;422
{56E024D1-7B5E-4117-92CB-9D5FFB3385CC};Strasse;TLM_STRASSE;Galerie;{74C9E83C-BAAB-42D2-8A56-7ADAFD038907};Tranchée semi-couverte de Bevaix;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2552751;1197593;456
{6FEA1136-0929-4961-AA67-7C1E5D938EAE};Strasse;TLM_STRASSE;Keine;{3385E879-B237-4003-BA47-6371243B4B9A};Heusteig;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2680182;1278659;503
